Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,-3.580634,20.427239,0,bottom
C2,10u,C_0402_1005Metric,-1.337287,20.503613,0,bottom
C3,1u,C_0402_1005Metric,1.25375,6.487477,90,bottom
C4,10u,C_0402_1005Metric,-8.031195,12.758735,180,bottom
C5,1u,C_0402_1005Metric,3.4954,6.487477,90,bottom
C6,30p,C_0402_1005Metric,-5.001513,-6.234901,90,bottom
C7,100n,C_0402_1005Metric,0.6625,-6,-90,bottom
C8,100n,C_0402_1005Metric,0.25375,6.487477,90,bottom
C9,0.1uF,C_0603_1608Metric,193.278125,-23.8125,-90,bottom
C10,0.1uF,C_0603_1608Metric,190.896875,11.90625,180,bottom
C11,0.1uF,C_0603_1608Metric,-2.778125,14.2875,90,bottom
C12,0.1uF,C_0603_1608Metric,152.4,-21.43125,0,bottom
C13,0.1uF,C_0603_1608Metric,115.8875,-21.034375,0,bottom
C14,0.1uF,C_0603_1608Metric,35.321875,14.2875,90,bottom
C15,0.1uF,C_0603_1608Metric,0,-21.43125,0,bottom
C16,0.1uF,C_0603_1608Metric,114.696875,11.90625,180,bottom
C17,0.1uF,C_0603_1608Metric,76.2,-21.43125,0,bottom
C18,0.1uF,C_0603_1608Metric,149.621875,14.2875,90,bottom
C19,0.1uF,C_0603_1608Metric,73.421875,14.2875,90,bottom
C20,0.1uF,C_0603_1608Metric,36.5125,-21.43125,0,bottom
C21,100n,C_0402_1005Metric,-0.3375,-6,-90,bottom
C22,100n,C_0402_1005Metric,4.4954,6.487477,90,bottom
C23,100n,C_0402_1005Metric,5.55625,6.487477,90,bottom
C24,100n,C_0402_1005Metric,5.974214,-1.299703,180,bottom
C25,100n,C_0402_1005Metric,-5.5,-0.9,0,bottom
C26,100n,C_0402_1005Metric,-5.539514,3.294561,0,bottom
C27,30p,C_0402_1005Metric,-5.001513,-4.254901,90,bottom
C28,100n,C_0402_1005Metric,-5.86678,20.347024,180,bottom
D1,D_Small,D_SOD-123,200.81875,43.259375,-90,bottom
D2,D_Small,D_SOD-123,181.76875,43.259375,-90,bottom
D3,D_Small,D_SOD-123,156.36875,42.06875,90,bottom
D4,D_Small,D_SOD-123,137.31875,42.06875,90,bottom
D5,D_Small,D_SOD-123,118.26875,42.06875,90,bottom
D6,D_Small,D_SOD-123,99.21875,42.06875,90,bottom
D7,D_Small,D_SOD-123,203.99375,23.01875,90,bottom
D8,D_Small,D_SOD-123,184.94375,23.01875,90,bottom
D9,D_Small,D_SOD-123,165.89375,23.01875,90,bottom
D10,D_Small,D_SOD-123,146.84375,23.01875,90,bottom
D11,D_Small,D_SOD-123,127.79375,23.01875,90,bottom
D12,D_Small,D_SOD-123,108.74375,23.01875,90,bottom
D13,D_Small,D_SOD-123,89.69375,23.01875,90,bottom
D14,D_Small,D_SOD-123,70.64375,23.01875,90,bottom
D15,D_Small,D_SOD-123,51.59375,23.01875,90,bottom
D16,D_Small,D_SOD-123,32.54375,23.01875,90,bottom
D17,D_Small,D_SOD-123,13.49375,23.01875,90,bottom
D18,D_Small,D_SOD-123,-12.7,23.01875,90,bottom
D19,D_Small,D_SOD-123,201.6125,3.96875,90,bottom
D20,D_Small,D_SOD-123,180.18125,3.96875,90,bottom
D21,D_Small,D_SOD-123,161.13125,3.96875,90,bottom
D22,D_Small,D_SOD-123,142.08125,3.96875,90,bottom
D23,D_Small,D_SOD-123,123.03125,3.96875,90,bottom
D24,D_Small,D_SOD-123,103.98125,3.96875,90,bottom
D25,D_Small,D_SOD-123,84.93125,3.96875,90,bottom
D26,D_Small,D_SOD-123,65.88125,3.96875,90,bottom
D27,D_Small,D_SOD-123,46.83125,3.96875,90,bottom
D28,D_Small,D_SOD-123,27.78125,3.96875,90,bottom
D29,D_Small,D_SOD-123,22.225,7.9375,90,bottom
D30,D_Small,D_SOD-123,-15.08125,3.96875,90,bottom
D31,D_Small,D_SOD-123,196.85,-15.08125,90,bottom
D32,D_Small,D_SOD-123,170.65625,-15.08125,90,bottom
D33,D_Small,D_SOD-123,151.60625,-15.08125,90,bottom
D34,D_Small,D_SOD-123,132.55625,-15.08125,90,bottom
D35,D_Small,D_SOD-123,113.50625,-15.08125,90,bottom
D36,D_Small,D_SOD-123,94.45625,-15.08125,90,bottom
D37,D_Small,D_SOD-123,75.40625,-15.08125,90,bottom
D38,D_Small,D_SOD-123,56.35625,-15.08125,90,bottom
D39,D_Small,D_SOD-123,37.30625,-15.08125,90,bottom
D40,D_Small,D_SOD-123,18.25625,-15.08125,90,bottom
D41,D_Small,D_SOD-123,-0.79375,-15.08125,90,bottom
D42,D_Small,D_SOD-123,-19.84375,-15.08125,90,bottom
D43,D_Small,D_SOD-123,195.2625,-30.1625,-90,bottom
D44,D_Small,D_SOD-123,191.29375,-30.1625,-90,bottom
D45,D_Small,D_SOD-123,165.89375,-30.1625,-90,bottom
D46,D_Small,D_SOD-123,162.321875,-30.1625,-90,bottom
D47,D_Small,D_SOD-123,130.175,-30.1625,-90,bottom
D48,D_Small,D_SOD-123,68.2625,-30.1625,-90,bottom
D49,D_Small,D_SOD-123,58.7375,-30.1625,-90,bottom
D50,D_Small,D_SOD-123,11.90625,-30.1625,-90,bottom
D51,D_Small,D_SOD-123,5.55625,-30.1625,-90,bottom
D52,D_Small,D_SOD-123,-19.84375,-30.1625,-90,bottom
D56,WS2812B,LED_WS2812B_2020,76.2,-23.8125,0,bottom
D57,WS2812B,LED_WS2812B_2020,36.5125,-23.8125,0,bottom
D58,WS2812B,LED_WS2812B_2020,0,-23.8125,0,bottom
D59,WS2812B,LED_WS2812B_2020,0,14.2875,180,bottom
D60,WS2812B,LED_WS2812B_2020,38.1,14.2875,180,bottom
D61,WS2812B,LED_WS2812B_2020,76.2,14.2875,180,bottom
D62,WS2812B,LED_WS2812B_2020,114.3,14.2875,180,bottom
D63,WS2812B,LED_WS2812B_2020,152.4,14.2875,180,bottom
D64,WS2812B,LED_WS2812B_2020,115.8875,-23.415625,0,bottom
D65,WS2812B,LED_WS2812B_2020,152.4,-23.8125,0,bottom
D66,WS2812B,LED_WS2812B_2020,190.5,-23.8125,0,bottom
D67,WS2812B,LED_WS2812B_2020,190.5,14.2875,180,bottom
