Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0402_1005Metric",-3.580634,20.427239,0.000000,bottom
"C2","10u","C_0402_1005Metric",-1.337287,20.503613,0.000000,bottom
"C3","1u","C_0402_1005Metric",1.253750,6.487477,90.000000,bottom
"C4","10u","C_0402_1005Metric",-8.031195,12.758735,180.000000,bottom
"C5","1u","C_0402_1005Metric",3.495400,6.487477,90.000000,bottom
"C6","30p","C_0402_1005Metric",-5.001513,-6.234901,90.000000,bottom
"C7","100n","C_0402_1005Metric",0.662500,-6.000000,-90.000000,bottom
"C8","100n","C_0402_1005Metric",0.253750,6.487477,90.000000,bottom
"C9","0.1uF","C_0603_1608Metric",193.278125,-23.812500,-90.000000,bottom
"C10","0.1uF","C_0603_1608Metric",190.896875,11.906250,180.000000,bottom
"C11","0.1uF","C_0603_1608Metric",-2.778125,14.287500,90.000000,bottom
"C12","0.1uF","C_0603_1608Metric",152.400000,-21.431250,0.000000,bottom
"C13","0.1uF","C_0603_1608Metric",115.887500,-21.034375,0.000000,bottom
"C14","0.1uF","C_0603_1608Metric",35.321875,14.287500,90.000000,bottom
"C15","0.1uF","C_0603_1608Metric",0.000000,-21.431250,0.000000,bottom
"C16","0.1uF","C_0603_1608Metric",114.696875,11.906250,180.000000,bottom
"C17","0.1uF","C_0603_1608Metric",76.200000,-21.431250,0.000000,bottom
"C18","0.1uF","C_0603_1608Metric",149.621875,14.287500,90.000000,bottom
"C19","0.1uF","C_0603_1608Metric",73.421875,14.287500,90.000000,bottom
"C20","0.1uF","C_0603_1608Metric",36.512500,-21.431250,0.000000,bottom
"C21","100n","C_0402_1005Metric",-0.337500,-6.000000,-90.000000,bottom
"C22","100n","C_0402_1005Metric",4.495400,6.487477,90.000000,bottom
"C23","100n","C_0402_1005Metric",5.556250,6.487477,90.000000,bottom
"C24","100n","C_0402_1005Metric",5.974214,-1.299703,180.000000,bottom
"C25","100n","C_0402_1005Metric",-5.500000,-0.900000,0.000000,bottom
"C26","100n","C_0402_1005Metric",-5.539514,3.294561,0.000000,bottom
"C27","30p","C_0402_1005Metric",-5.001513,-4.254901,90.000000,bottom
"C28","100n","C_0402_1005Metric",-5.866780,20.347024,180.000000,bottom
"D1","D_Small","D_SOD-123",200.818750,43.259375,-90.000000,bottom
"D2","D_Small","D_SOD-123",181.768750,43.259375,-90.000000,bottom
"D3","D_Small","D_SOD-123",156.368750,42.068750,90.000000,bottom
"D4","D_Small","D_SOD-123",137.318750,42.068750,90.000000,bottom
"D5","D_Small","D_SOD-123",118.268750,42.068750,90.000000,bottom
"D6","D_Small","D_SOD-123",99.218750,42.068750,90.000000,bottom
"D7","D_Small","D_SOD-123",203.993750,23.018750,90.000000,bottom
