Ref,Val,Package,PosX,PosY,Rot,Side
"","","",-150.018750,41.275000,0.000000,top
"D53","LED","LED_D3.0mm",-213.963250,49.245500,0.000000,top
"D54","LED","LED_D3.0mm",-213.963250,43.720500,0.000000,top
"D55","LED","LED_D3.0mm",-213.963250,38.195500,0.000000,top
"H1","MountingHole_Pad","Minivan-reference",-95.250000,-2.381250,0.000000,top
"J7","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",-134.381875,37.306250,-90.000000,top
"J8","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",-205.325000,47.250000,90.000000,top
"J9","Conn_01x05","PinHeader_1x05_P2.54mm_Vertical",-193.887500,18.837500,90.000000,top
"J10","Conn_01x09","PinHeader_1x09_P2.54mm_Vertical",-102.550000,19.400000,-90.000000,top
"MX1","MX-NoLED","MXOnly-1U-Hotswap",-197.643750,42.862500,180.000000,top
"MX2","MX-NoLED","MXOnly-1U-Hotswap",-178.593750,42.862500,180.000000,top
"MX3","MX-NoLED","MXOnly-1U-Hotswap",-159.543750,42.862500,0.000000,top
"MX4","MX-NoLED","MXOnly-1U-Hotswap",-140.493750,42.862500,0.000000,top
"MX5","MX-NoLED","MXOnly-1U-Hotswap",-121.443750,42.862500,0.000000,top
"MX6","MX-NoLED","MXOnly-1U-Hotswap",-102.393750,42.862500,0.000000,top
"MX7","MX-NoLED","MXOnly-1U-Hotswap",-207.168750,23.812500,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-Hotswap",-188.118750,23.812500,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-Hotswap",-169.068750,23.812500,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-Hotswap",-150.018750,23.812500,0.000000,top
"MX11","MX-NoLED","MXOnly-1U-Hotswap",-130.968750,23.812500,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-Hotswap",-111.918750,23.812500,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-Hotswap",-92.868750,23.812500,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-Hotswap",-73.818750,23.812500,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-Hotswap",-54.768750,23.812500,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-Hotswap",-35.718750,23.812500,0.000000,top
"MX17","MX-NoLED","MXOnly-1U-Hotswap",-16.668750,23.812500,0.000000,top
"MX18","MX-NoLED","MXOnly-1.75U-Hotswap",9.525000,23.812500,0.000000,top
"MX19","MX-NoLED","MXOnly-1.25U-Hotswap",-204.787500,4.762500,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-Hotswap",-183.356250,4.762500,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-Hotswap",-164.306250,4.762500,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-Hotswap",-145.256250,4.762500,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-Hotswap",-126.206250,4.762500,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-Hotswap",-107.156250,4.762500,0.000000,top
"MX25","MX-NoLED","MXOnly-1U-Hotswap",-88.106250,4.762500,0.000000,top
"MX26","MX-NoLED","MXOnly-1U-Hotswap",-69.250000,5.250000,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-Hotswap",-50.006250,4.762500,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-Hotswap",-30.956250,4.762500,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-Hotswap",-11.906250,4.762500,0.000000,top
"MX30","MX-NoLED","MXOnly-1.5U-Hotswap",11.906250,4.762500,0.000000,top
"MX31","MX-NoLED","MXOnly-1.75U-Hotswap",-200.025000,-14.287500,0.000000,top
"MX32","MX-NoLED","MXOnly-1U-Hotswap",-173.831250,-14.287500,0.000000,top
"MX33","MX-NoLED","MXOnly-1U-Hotswap",-154.781250,-14.287500,0.000000,top
"MX34","MX-NoLED","MXOnly-1U-Hotswap",-135.731250,-14.287500,0.000000,top
"MX35","MX-NoLED","MXOnly-1U-Hotswap",-116.681250,-14.287500,0.000000,top
"MX36","MX-NoLED","MXOnly-1U-Hotswap",-97.631250,-14.287500,0.000000,top
"MX37","MX-NoLED","MXOnly-1U-Hotswap",-78.581250,-14.287500,0.000000,top
"MX38","MX-NoLED","MXOnly-1U-Hotswap",-59.531250,-14.287500,0.000000,top
"MX39","MX-NoLED","MXOnly-1U-Hotswap",-40.481250,-14.287500,0.000000,top
"MX40","MX-NoLED","MXOnly-1U-Hotswap",-21.431250,-14.287500,0.000000,top
"MX41","MX-NoLED","MXOnly-1U-Hotswap",-2.381250,-14.287500,0.000000,top
"MX42","MX-NoLED","MXOnly-1U-Hotswap",16.668750,-14.287500,0.000000,top
"MX45","MX-NoLED","MXOnly-1U-Hotswap",-207.168750,-33.337500,0.000000,top
"MX45","MX-NoLED","MXOnly-1.25U-Hotswap",-152.400000,-33.337500,0.000000,top
"MX46","MX-NoLED","MXOnly-2.25U-Hotswap-ReversedStabilizers",-119.062500,-33.331250,0.000000,top
"MX46","MX-NoLED","MXOnly-1U-Hotswap",-188.118750,-33.337500,180.000000,top
"MX47","MX-NoLED","MXOnly-2U-Hotswap-ReversedStabilizers",-78.549500,-33.331250,0.000000,top
"MX48","MX-NoLED","MXOnly-1.25U-Hotswap",-47.625000,-33.337500,0.000000,top
"MX49","MX-NoLED","MXOnly-1.5U-Hotswap",-21.431250,-33.337500,0.000000,top
"MX50","MX-NoLED","MXOnly-1.75U-Hotswap",9.525000,-33.337500,0.000000,top
"MX53","MX-NoLED","MXOnly-1U-Hotswap",-169.068750,-33.337500,180.000000,top
"MX53","MX-NoLED","MXOnly-1.25U-Hotswap",-204.787500,-33.337500,180.000000,top
"MX54","MX-NoLED","MXOnly-1U-Hotswap",-150.018750,-33.337500,180.000000,top
"MX54","MX-NoLED","MXOnly-1.5U-Hotswap",-178.593750,-33.337500,0.000000,top
"MX55","MX-NoLED","MXOnly-1.5U-Hotswap",-45.243750,-33.337500,180.000000,top
"MX57","MX-NoLED","MXOnly-1U-Hotswap",-2.381250,-33.337500,180.000000,top
"MX58","MX-NoLED","MXOnly-1U-Hotswap",16.668750,-33.337500,180.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-150.018750,32.543750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-3.571875,25.796875,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-125.809375,32.543750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",1.299818,27.112268,30.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-173.434375,32.543750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-196.850000,32.543750,0.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-8.434088,27.121288,-30.000000,top
"REF**","breakaway-mousebites","breakaway-mousebites",-103.187500,32.543750,0.000000,top
"SW3","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",-102.393750,42.862500,90.000000,top
