Comment,Designator,Footprint,JLCPCB Part #
MX-NoLED,MX46,MXOnly-2.75U-Hotswap-ReversedStabilizers,C2803348
MX-NoLED,"MX50,MX52,MX7,MX8,MX9,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX32,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX40,MX41,MX42,MX2,MX3,MX4,MX5,MX6,MX1,MX57,MX49",MXOnly-1U-Hotswap,C2803348
MX-NoLED,"MX51,MX19,MX53,MX55",MXOnly-1.25U-Hotswap,C2803348
MX-NoLED,MX47,MXOnly-2.25U-Hotswap-ReversedStabilizers,C2803348
MX-NoLED,"MX18,MX31",MXOnly-1.75U-Hotswap,C2803348
MX-NoLED,MX30,MXOnly-1.5U-Hotswap,C2803348
MX-NoLED,MX58,MXOnly-6.25U-Hotswap-ReversedStabilizers,C2803348
500mA,F1,Fuse_1206_3216Metric,C70076
USB_C_Receptacle_USB2.0,"J1,J2",USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
5.1k,"R4,R3,R1,R2",R_0603_1608Metric,C23186
27,"R6,R7",R_0402_1005Metric,C25092
SRV05-4,U1,SOT-23-6,C85364
D_Small,"D33,D9,D27,D8,D28,D14,D18,D13,D16,D3,D51,D34,D44,D7,D22,D6,D11,D48,D41,D45,D52,D12,D17,D24,D47,D36,D30,D38,D31,D39,D10,D20,D1,D49,D26,D4,D15,D2,D23,D40,D21,D50,D43,D25,D19,D29,D32,D35,D5,D37,D42",D_SOD-123,C81598
0.1uF,"C9,C16,C10,C12,C18,C14,C15,C20,C17,C13,C19,C11",C_0603_1608Metric,C14663
1k,"R14,R12",R_0402_1005Metric,C11702
WS2812B,"D65,D61,D63,D66,D59,D58,D64,D62,D67,D60,D56,D57",LED_WS2812B_2020,C965556
30p,"C6,C27",C_0402_1005Metric,C1570
100n,"C8,C28,C26,C22,C24,C21,C23,C7,C25",C_0402_1005Metric,C307331
470,"R11,R9,R10",R_0603_1608Metric,C23151
10u,"C2,C1,C4",C_0402_1005Metric,C15525
1u,"C5,C3",C_0402_1005Metric,C52923
SW_SPST,"SWR1,SWR2",SW_SPST_TL3342,C318884
5.1k,R5,R_0402_1005Metric,C25905
RP2040TR7,U3,QFN40P700X700X90-57N,C2040
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Conn_01x04_Female,J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
XC6206PxxxMR,U2,SOT-23,C5446
Crystal_GND24_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
